Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2",D_5W_P12.70mm_Horizontal,2,D,
J1,PinHeader_1x07_P2.54mm_Horizontal,1,IO Connector Pins,
"Q1, Q2, Q3",TO-92,3,NPN,
"R1, R2, R3, R4, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,6,1kOhm,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.5mm,7,TestPoint,
U1,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 1,
U10,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 10,
U11,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 11,
U12,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 12,
U13,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 13,
U14,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 14,
U15,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 15,
U16,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 16,
U17,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 17,
U18,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 18,
U19,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 19,
U2,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 2,
U20,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 20,
U21,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 21,
U22,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 22,
U23,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 23,
U24,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 24,
U25,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 25,
U26,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 26,
U27,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 27,
U28,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 28,
U29,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 29,
U3,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 3,
U30,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 30,
U31,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 31,
U32,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 32,
U4,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 4,
U5,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 5,
U6,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 6,
U7,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 7,
U8,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 8,
U9,SOP-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SR 9,
