Designator,Mid X,Mid Y,Rotation,Layer
D1,84.5,-70.9,270.0,top
D2,79.9,-71.0,270.0,top
J1,81.5,-52.42,180.0,top
Q1,89.48,-76.365,0.0,top
Q2,102.27,-76.365,0.0,top
Q3,114.98,-76.365,0.0,top
R1,95.79,-75.25,0.0,top
R2,95.79,-78.0,0.0,top
R3,108.54,-78.0,0.0,top
R4,108.5,-75.25,0.0,top
R5,121.25,-75.25,0.0,top
R6,121.25,-78.0,0.0,top
U1,92.305,-43.269,270.0,top
U10,103.25,-52.5,270.0,top
U11,114.075,-52.519,270.0,top
U12,124.75,-52.5,270.0,top
U13,135.5,-52.5,270.0,top
U14,146.0,-52.5,270.0,top
U15,156.75,-52.5,270.0,top
U16,167.5,-52.5,270.0,top
U17,92.345,-61.169,270.0,top
U18,103.325,-61.169,270.0,top
U19,114.075,-61.169,270.0,top
U2,103.285,-43.269,270.0,top
U20,124.75,-61.169,270.0,top
U21,135.5,-61.15,270.0,top
U22,146.0,-61.15,270.0,top
U23,156.75,-61.15,270.0,top
U24,167.5,-61.15,270.0,top
U25,92.325,-69.9,270.0,top
U26,103.25,-69.9,270.0,top
U27,114.0,-69.9,270.0,top
U28,124.75,-69.9,270.0,top
U29,135.5,-69.9,270.0,top
U3,114.035,-43.269,270.0,top
U30,146.0,-69.9,270.0,top
U31,156.75,-69.9,270.0,top
U32,167.575,-69.9,270.0,top
U4,124.765,-43.307,270.0,top
U5,135.515,-43.269,270.0,top
U6,146.265,-43.269,270.0,top
U7,156.96,-43.288,270.0,top
U8,167.885,-43.288,270.0,top
U9,92.25,-52.5,270.0,top
